TEAM,YEAR,EXP,AVG HGT,n_players
Manhattan,2006,1.911,,4
Manhattan,2007,0.957,,6
Marist,2003,2.33,,3
Marist,2004,1.368,,3
Marist,2005,1.624,,3
Marist,2006,2.022,,4
Marist,2007,2.639,,5
Marquette,2003,1.791,,5
Marquette,2004,1.983,,3
Marquette,2005,2.162,,5
Marquette,2006,1.081,,3
Marquette,2007,1.351,,5
Marshall,2003,2.01,,4
Marshall,2004,1.424,,3
Marshall,2005,2.537,,2
Marshall,2006,1.712,,4
Marshall,2007,2.197,,4
Maryland,2003,3.0,,4
Maryland,2004,1.491,,4
Maryland,2005,2.0,,4
Maryland,2006,2.293,,4
Maryland,2007,1.865,,6
Maryland Eastern Shore,2003,1.079,,2
Maryland Eastern Shore,2004,2.082,,2
Maryland Eastern Shore,2005,2.354,,3
Maryland Eastern Shore,2006,0.994,,5
Maryland Eastern Shore,2007,2.294,,3
Massachusetts,2003,1.009,,4
Massachusetts,2004,0.698,,5
Massachusetts,2005,1.0,,3
Massachusetts,2006,1.725,,4
Massachusetts,2007,2.445,,5
McNeese State,2003,3.0,,3
McNeese State,2004,2.457,,2
McNeese State,2005,3.0,,1
McNeese State,2006,3.0,,1
McNeese State,2007,1.993,,5
Memphis,2003,1.362,,3
Memphis,2004,1.533,,4
Memphis,2005,1.902,,4
Memphis,2006,0.864,,6
Memphis,2007,1.425,,7
Mercer,2003,2.321,,4
Mercer,2004,2.493,,2
Mercer,2005,2.49,,4
Mercer,2006,3.0,,2
Mercer,2007,1.318,,3
Miami (FL),2003,1.767,,3
Miami (FL),2004,1.265,,4
Miami (FL),2005,1.265,,4
Miami (FL),2006,2.466,,4
Miami (FL),2007,1.26,,4
Miami (OH),2003,1.358,,3
Miami (OH),2004,2.067,,3
Miami (OH),2005,2.347,,4
Miami (OH),2006,2.073,,3
Miami (OH),2007,1.832,,5
Michigan,2003,1.206,,4
Michigan,2004,1.101,,5
Michigan,2005,0.567,,2
Michigan,2006,2.53,,4
Michigan,2007,2.56,,6
Michigan State,2003,1.416,,4
Michigan State,2004,1.761,,4
Michigan State,2005,2.319,,6
Michigan State,2006,2.237,,4
Michigan State,2007,1.252,,5
Middle Tennessee,2003,2.716,,4
Middle Tennessee,2004,1.766,,4
Middle Tennessee,2005,2.251,,5
Middle Tennessee,2006,2.358,,3
Middle Tennessee,2007,1.453,,6
Milwaukee,2003,2.755,,4
Milwaukee,2004,1.663,,5
Milwaukee,2005,2.25,,4
Milwaukee,2006,3.0,,4
Milwaukee,2007,1.792,,5
Minnesota,2003,1.943,,5
Minnesota,2004,1.73,,5
Minnesota,2005,2.298,,5
Minnesota,2006,3.0,,3
Minnesota,2007,1.738,,3
Mississippi State,2003,2.396,,5
Mississippi State,2004,2.409,,5
Mississippi State,2005,2.509,,4
Mississippi State,2006,0.3,,3
Mississippi State,2007,0.857,,6
Mississippi Valley State,2003,2.562,,4
Mississippi Valley State,2004,2.286,,4
Mississippi Valley State,2005,1.761,,3
Mississippi Valley State,2006,1.509,,2
Mississippi Valley State,2007,2.255,,4
Missouri,2003,1.607,,5
Missouri,2004,2.506,,4
Missouri,2005,1.358,,5
Missouri,2006,2.007,,5
Missouri,2007,1.527,,2
Missouri State,2006,2.287,,3
Missouri State,2007,2.491,,4
Monmouth,2003,1.715,,4
Monmouth,2004,1.724,,3
Monmouth,2005,2.021,,4
Monmouth,2006,1.972,,5
Monmouth,2007,1.765,,4
Montana,2003,1.709,,3
Montana,2004,1.975,,3
Montana,2005,1.054,,3
Montana,2006,1.868,,5
Montana,2007,2.228,,4
Montana State,2003,2.014,,3
Montana State,2004,2.146,,2
Montana State,2005,1.252,,4
Montana State,2006,1.974,,5
